Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 15622,IS 1786,12,34,5,0.417,14.853,Cited alongside IS 15622 in 5 of 12 comparable tenders
IS 15622,IS 3989,12,6,5,0.417,84.167,Cited alongside IS 15622 in 5 of 12 comparable tenders
IS 15622,IS 516,12,14,5,0.417,36.071,Cited alongside IS 15622 in 5 of 12 comparable tenders
IS 15622,IS 694,12,120,5,0.417,4.208,Cited alongside IS 15622 in 5 of 12 comparable tenders
IS 15622,IS 778,12,17,5,0.417,29.706,Cited alongside IS 15622 in 5 of 12 comparable tenders
IS 1180,IS 1255,12,18,5,0.417,28.056,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 13118,12,10,5,0.417,50.5,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 2633,12,22,5,0.417,22.955,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 5082,12,25,5,0.417,20.2,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 617,12,16,5,0.417,31.562,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 875,12,48,5,0.417,10.521,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 398,IS 13118,12,10,5,0.417,50.5,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 2074,12,16,5,0.417,31.562,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 383,12,26,5,0.417,19.423,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 456,12,28,5,0.417,18.036,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 4759,12,22,5,0.417,22.955,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 800,12,27,5,0.417,18.704,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 808,12,19,5,0.417,26.579,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 1363,12,11,5,0.417,45.909,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 1521,12,5,5,0.417,101.0,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 3589,12,29,5,0.417,17.414,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 398,IS 6745,12,10,5,0.417,50.5,Cited alongside IS 398 in 5 of 12 comparable tenders
IS 1180,IS 1554,12,48,5,0.417,10.521,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 1893,12,18,5,0.417,28.056,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 1180,IS 8130,12,56,5,0.417,9.018,Cited alongside IS 1180 in 5 of 12 comparable tenders
IS 780,IS 1520,12,8,5,0.417,63.125,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 1651,12,14,5,0.417,36.071,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 3346,12,6,5,0.417,84.167,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 4029,12,8,5,0.417,63.125,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 5290,12,7,5,0.417,72.143,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 7816,12,6,5,0.417,84.167,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 3637,IS 1554,12,48,5,0.417,10.521,Cited alongside IS 3637 in 5 of 12 comparable tenders
IS 3637,IS 1778,12,6,5,0.417,84.167,Cited alongside IS 3637 in 5 of 12 comparable tenders
