Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/6023420,7606049.0,Unclassified,,0,,Not checked,,Read by OCR,3,1607,
GEM/2025/B/6021652,7604089.0,Unclassified,,0,,Not checked,,Read by OCR,3,6335,
GEM/2025/B/6026806,7609874.0,Unclassified,,0,,Not checked,,Read by OCR,1,918,
GEM/2025/B/6027696,7610896.0,Unclassified,,0,,Not checked,,Not extractable,1,117,
GEM/2025/B/6027555,7610736.0,Unclassified,,0,,Not checked,,Read by OCR,1,1577,
GEM/2025/B/6029568,7613044.0,Unclassified,,0,,Not checked,,Read by OCR,1,1375,
GEM/2025/B/6023284,7605902.0,Unclassified,,0,,Not checked,,Read by OCR,4,10474,
GEM/2025/B/6031939,7615757.0,Unclassified,,0,,Not checked,,Read by OCR,1,995,
GEM/2025/B/6032484,7616382.0,Unclassified,,0,,Not checked,,Read by OCR,1,412,
GEM/2025/B/6028418,7611724.0,PGD — Production And General Engineering Department,IS 2102,1,,No,,Read by OCR,2,5511,
GEM/2025/B/6025455,7608368.0,PGD — Production And General Engineering Department,IS 2062; IS 1461; IS 10714; IS 10714 (Part20); IS 10714 (Part21),5,,No,,Read by OCR,12,13914,
GEM/2025/B/6033241,7617265.0,Unclassified,,0,,Not checked,,Read by OCR,7,15894,
GEM/2025/B/6032533,7616436.0,Unclassified,,0,,Not checked,,Read by OCR,12,38539,
GEM/2025/B/6032277,7616131.0,CED — Civil Engineering Department,IS 3513; IS 1708; IS 1736; IS 1998,4,,No,,Read by OCR,12,17792,
GEM/2025/B/6035703,7620026.0,Unclassified,,0,,Not checked,,Read by OCR,4,4582,
GEM/2025/B/6037615,7622194.0,Unclassified,,0,,Not checked,,Read by OCR,1,444,
GEM/2025/B/6035261,7619526.0,Unclassified,,0,,Not checked,,Read by OCR,7,14097,
GEM/2025/B/6037860,7622473.0,Unclassified,,0,,Not checked,,Read by OCR,2,3091,
GEM/2025/B/6033365,7617399.0,PGD — Production And General Engineering Department,IS 2102; IS 2500 (Part-I),2,,No,,Read by OCR,12,15614,
GEM/2025/B/6037900,7622521.0,PGD — Production And General Engineering Department,IS 2102,1,,No,,Read by OCR,2,2154,
GEM/2025/B/6038659,7623397.0,PGD — Production And General Engineering Department,IS 696; IS 5517; IS 3073,3,IS 696 (Withdrawn),Yes,,Read by OCR,5,10034,
GEM/2025/B/6039593,7624490.0,Unclassified,,0,,Not checked,,Read by OCR,1,806,
