Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 16105,IS 10322 (Part 5),9,17,5,0.556,4.379,Cited alongside IS 16105 in 5 of 9 comparable tenders
IS 456,IS 9103,11,7,6,0.545,10.442,Cited alongside IS 456 in 6 of 11 comparable tenders
IS 456,IS 383,11,7,6,0.545,10.442,Cited alongside IS 456 in 6 of 11 comparable tenders
IS 10322 (Part 1),IS 10322 (Part 5),11,17,6,0.545,4.299,Cited alongside IS 10322 (Part 1) in 6 of 11 comparable tenders
IS 10322 (Part 1),IS 16107,11,14,6,0.545,5.221,Cited alongside IS 10322 (Part 1) in 6 of 11 comparable tenders
IS 10322 (Part 1),IS 16107 (Part 2),11,7,6,0.545,10.442,Cited alongside IS 10322 (Part 1) in 6 of 11 comparable tenders
IS 10322 (Part 5),IS 10322,17,23,9,0.529,3.084,Cited alongside IS 10322 (Part 5) in 9 of 17 comparable tenders
IS 10322 (Part 5),IS 16106,17,18,9,0.529,3.941,Cited alongside IS 10322 (Part 5) in 9 of 17 comparable tenders
IS 10322,IS 16106,23,18,12,0.522,3.884,Cited alongside IS 10322 in 12 of 23 comparable tenders
IS 1554,IS 5831,14,20,7,0.5,3.35,Cited alongside IS 1554 in 7 of 14 comparable tenders
IS 9968,IS 694,10,48,5,0.5,1.396,Cited alongside IS 9968 in 5 of 10 comparable tenders
IS 15778,IS 13592,8,8,4,0.5,8.375,Cited alongside IS 15778 in 4 of 8 comparable tenders
IS 13592,IS 15778,8,8,4,0.5,8.375,Cited alongside IS 13592 in 4 of 8 comparable tenders
IS 15885 (Part 2),IS 16107 (Part 2),10,7,5,0.5,9.571,Cited alongside IS 15885 (Part 2) in 5 of 10 comparable tenders
IS 1239,IS 9523,6,4,3,0.5,16.75,Cited alongside IS 1239 in 3 of 6 comparable tenders
IS 9968,IS 7098,10,18,5,0.5,3.722,Cited alongside IS 9968 in 5 of 10 comparable tenders
IS 15885 (Part 2),IS 10322 (Part 1),10,11,5,0.5,6.091,Cited alongside IS 15885 (Part 2) in 5 of 10 comparable tenders
IS 16104,IS 16107 (Part 2),8,7,4,0.5,9.571,Cited alongside IS 16104 in 4 of 8 comparable tenders
IS 16104,IS 15885 (Part 2),8,10,4,0.5,6.7,Cited alongside IS 16104 in 4 of 8 comparable tenders
IS 16104,IS 16105,8,9,4,0.5,7.444,Cited alongside IS 16104 in 4 of 8 comparable tenders
IS 16104,IS 10322 (Part 1),8,11,4,0.5,6.091,Cited alongside IS 16104 in 4 of 8 comparable tenders
IS 1868,IS 612,6,3,3,0.5,22.333,Cited alongside IS 1868 in 3 of 6 comparable tenders
IS 733,IS 1489,6,8,3,0.5,8.375,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 6057,6,3,3,0.5,22.333,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 9103,6,7,3,0.5,9.571,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 612,6,3,3,0.5,22.333,Cited alongside IS 733 in 3 of 6 comparable tenders
IS 733,IS 4925,6,3,3,0.5,22.333,Cited alongside IS 733 in 3 of 6 comparable tenders
