Tender ID,Product Family,IS Numbers Cited,Foreign Standards Cited,Count,Outdated Citations,Any Outdated,Document Type,Usability,Source Link,Unmatched Citations
tech_spec-2023-03-15-11:53:32.pdf,Electrical cables and wiring,IS 694; IS 5831; IS 8130; IS 10810,,4,,No,Text PDF,Usable,https://tenders.bhel.com/sites/default/files/tech_spec-2023-03-15-11%3A53%3A32.pdf,
tb-409-510-016-rev-00-1591763779.pdf,Electrical cables and wiring,IS 209; IS 228; IS 277; IS 280; IS 325; IS 335; IS 398; IS 418; IS 617; IS 655; IS 659; IS 660; IS 694; IS 722; IS 732; IS 737; IS 800; IS 802; IS 806; IS 808; IS 814; IS 816; IS 817; IS 875; IS 940; IS 1079; IS 1161; IS 1182; IS 1231; IS 1239 (Part 1); IS 1248; IS 1255; IS 1258; IS 1293; IS 1363; IS 1364; IS 1448; IS 1520; IS 1521; IS 1534; IS 1554; IS 1569; IS 1599; IS 1608; IS 1753; IS 1778; IS 1893; IS 1913; IS 1944; IS 1978; IS 2026; IS 2062; IS 2071; IS 2099; IS 2121; IS 2147; IS 2148; IS 2165; IS 2171; IS 2208; IS 2215; IS 2233; IS 2254; IS 2312; IS 2418; IS 2551; IS 2595; IS 2629; IS 2633; IS 2667; IS 2705; IS 2713; IS 2878; IS 2982; IS 3034; IS 3043; IS 3063; IS 3069; IS 3070 (Part 2); IS 3138; IS 3156; IS 3231; IS 3323; IS 3324; IS 3347 (Part 1); IS 3400; IS 3480; IS 3528; IS 3553; IS 3588; IS 3589; IS 3639; IS 3646; IS 3664; IS 3837; IS 3842; IS 3854; IS 3961; IS 3975; IS 4012; IS 4013; IS 4029; IS 4379; IS 4503; IS 4649; IS 4671; IS 4691; IS 4722; IS 4729; IS 4826; IS 4894; IS 5039; IS 5082; IS 5120; IS 5133; IS 5216; IS 5561; IS 5571; IS 5578; IS 5831; IS 6005; IS 6103; IS 6104; IS 6262; IS 6380; IS 6392; IS 6600; IS 6745; IS 6792; IS 7098; IS 7205; IS 7572; IS 7816; IS 8130; IS 8183; IS 8263; IS 8623; IS 8792; IS 8793; IS 8828; IS 8997; IS 8998; IS 9137; IS 9224; IS 9224 (Part 1); IS 9228; IS 9537; IS 9595; IS 9900; IS 10000; IS 10002; IS 10028 (Part 2); IS 10322; IS 10418; IS 11149; IS 11353; IS 12063; IS 12065; IS 13703; IS 13703 (Part 1); IS 13703 (Part 2); IS 13947; IS 13947 (Part 1),,163,,Not checked,Text PDF,Multi-scope,https://www.bhel.com/sites/default/files/tb-409-510-016-rev-00-1591763779.pdf,
Anex I to Corg 01.pdf,Electrical cables and wiring,IS 694; IS 1700,,2,,Not checked,Text PDF,Usable,https://tenders.bhel.com/sites/default/files/Anex%20I%20to%20Corg%2001.pdf,IS 1700
020820231736-PRICE BIDELECTRICAL WORK.pd,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://sbi.bank.in/webapp/webfiles/uploads/files_2324/020820231736-PRICE%20BIDELECTRICAL%20WORK.pdf,
Electricalitems.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://gbpiet.ac.in/wp-content/uploads/2026/02/Electricalitems.pdf,
document_-56_2024-10-17-13-31-33_20c3963,Electrical cables and wiring,IS 694,,1,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/1906744/54/78/703/CatalogAttrs/SpecificationDocument/2024/10/17/document_-56_2024-10-17-13-31-33_20c3963a8b6f35a79cb4cbae60be3346.pdf,
cable_2024-03-16-16-41-09_abef81b747b7be,Electrical cables and wiring,IS 694; IS 5831; IS 8130,,3,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/917607/54/78/703/CatalogAttrs/SpecificationDocument/2024/3/16/cable_2024-03-16-16-41-09_abef81b747b7bedd303cad6581f47d86.pdf,
2026_05_13_11_45_22_cataloge_2026-05-13-,Electrical cables and wiring,IS 691; IS 694; IS 1554; IS 3975; IS 4289; IS 5608; IS 5831; IS 6746; IS 7098; IS 8130; IS 8784; IS 9968; IS 10418; IS 10810,,14,IS 691,Yes,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/77/72/230/CatalogAttrs/SpecificationDocument/2026/5/13/2026_05_13_11_45_22_cataloge_2026-05-13-11-45-25_ee174c4916aa4c2ac67e4f8ade8b181d.pdf,IS 3975; IS 5608; IS 6746; IS 8784
1776058545.pdf,Electrical cables and wiring,IS 694; IS 5831; IS 8130,,3,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/9215312/1776058545.pdf,
EM_SOR10_06_2026.pdf,Electrical cables and wiring,IS 277; IS 302 (Part 1); IS 355; IS 371; IS 374; IS 398; IS 418; IS 555; IS 694; IS 722 (Part 1); IS 722 (Part 2); IS 722 (Part 3); IS 722 (Part 5); IS 722 (Part 7); IS 722 (Part 8); IS 722 (Part 9); IS 732; IS 875; IS 875 (Part 3); IS 875 (Part III); IS 1169; IS 1180; IS 1239; IS 1248 (Part 1); IS 1248 (Part 2); IS 1248 (Part 3); IS 1248 (Part 4); IS 1248 (Part 5); IS 1258; IS 1293; IS 1322; IS 1476; IS 1534 (Part 1); IS 1554; IS 1554 (Part 1); IS 1569; IS 1653; IS 1777; IS 1885; IS 1885 (Part 1); IS 1885 (Part 11); IS 1885 (Part 16); IS 1885 (Part 17); IS 1885 (Part 9); IS 1911; IS 1913 (Part 1); IS 1947; IS 2062; IS 2086; IS 2147; IS 2183; IS 2189; IS 2206 (Part 1); IS 2208; IS 2215; IS 2268; IS 2309; IS 2312; IS 2412; IS 2418 (Part 1); IS 2448 (Part 1); IS 2551; IS 2667; IS 2672; IS 2675; IS 2705 (Part 1); IS 2705 (Part 2); IS 2705 (Part 3); IS 2705 (Part 4); IS 2713; IS 2959; IS 2992; IS 2997; IS 3043; IS 3287; IS 3323; IS 3324; IS 3412; IS 3419; IS 3480; IS 3528; IS 3553; IS 3588; IS 3589; IS 3646 (Part 1); IS 3646 (Part 2); IS 3646 (Part 3); IS 3837; IS 3854; IS 3961 (Part 1); IS 3963; IS 4064 (Part 1); IS 4146; IS 4160; IS 4201; IS 4237; IS 4283; IS 4288; IS 4289 (Part 1); IS 4347; IS 4615; IS 4648; IS 4736; IS 4770; IS 4894; IS 5039; IS 5133 (Part 1); IS 5216; IS 5424; IS 5547; IS 5578; IS 5728; IS 6236; IS 6272; IS 6616; IS 6665; IS 6875 (Part 1); IS 6875 (Part 2); IS 6875 (Part 3); IS 6946; IS 6949; IS 7023; IS 7098; IS 7537; IS 7752 (Part 1); IS 8030; IS 8061; IS 8187; IS 8530; IS 8544 (Part 1); IS 8544 (Part 2); IS 8544 (Part 3); IS 8544 (Part 4); IS 8623; IS 8623 (Part 1); IS 8724; IS 8828; IS 8884; IS 9224 (Part 1); IS 9224 (Part 2); IS 9537; IS 9537 (Part 1); IS 9537 (Part 2); IS 9537 (Part 4); IS 9537 (Part 5); IS 9583; IS 9900 (Part 1); IS 9926; IS 9974 (Part 1); IS 10027; IS 10118; IS 10322; IS 10322 (Part 2); IS 10322 (Part 5); IS 10500; IS 11037; IS 11353; IS 12021; IS 12155; IS 12640; IS 12640 (Part 2); IS 13032; IS 13095; IS 13118; IS 13234; IS 13703 (Part 1); IS 13703 (Part 2); IS 13947 (Part 1); IS 13947 (Part 3); IS 13947 (Part 4); IS 13947 (Part 5); IS 14665 (Part 2); IS 14665 (Part 3); IS 14724; IS 14768 (Part 2); IS 14772; IS 14930 (Part II); IS 15222; IS 15683; IS 60898; IS 60947,,181,,Not checked,Text PDF,Multi-scope,https://pwd.cg.nic.in/CurrentEvents/EM_SOR10_06_2026.pdf,
