IS Number,Full Title,Year,Status,Replaced By,Supersedes,Product Family,Priority,Source Link,IS Base,Cited As,Collected From,Department Id,Committee Id
IS 875 (Part 1):1987,Code of practice for design loads (Other Than Earthquake) for buildings and structures: Part 1 dead loads - Unit weights of building materials and stored materials (Second Revision),1989.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 875,IS 875,BIS searchKnowStandards,63,208
IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification (Fourth Revision) ,2008.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1786,IS 1786,BIS searchKnowStandards,63,220
IS 1239 (Part 1):2004,"Steel Tubes, Tubulars and Other Wrought Steel Fittings   : Part 1  Steel Tubes (BI-LINGUAL)",2018.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1239,IS 1239,BIS searchKnowStandards,70,40
IS 277:2018,Galvanized steel strips and sheets (Plain And Corrugated) - Specification (Seventh Revision),2018.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 277,IS 277,BIS searchKnowStandards,70,27
IS 816:1969,Code of practice for use of metal arc welding for general construction in mild steel (First Revision),1971.0,Withdrawn,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 816,IS 816,BIS searchKnowStandards,70,34
IS 456:2000,Plain and reinforced concrete - Code of practice (Fourth Revision),2000.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 456,IS 456,BIS searchKnowStandards,63,190
IS 780:1984,sluice valves for water works purposes (50 to 300 mm size),,Withdrawn,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 780,IS 780,BIS searchKnowStandards,63,191
IS 778:1984,"Specification for copper alloy gate, globe and check valves for waterworks purposes (Fourth Revision)",1986.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 778,IS 778,BIS searchKnowStandards,63,191
IS 2713 (Part 1 to 3):1980,Tubular Steel Poles for Overhead Power Lines,,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 2713,IS 2713,BIS searchKnowStandards,63,195
IS 808:2021,"Hot Rolled Steel Beam, Column, Channel and Angle Sections - Dimensions and Properties  (Fourth Revision)",2021.0,Current,UNKNOWN,UNKNOWN,CED — Civil Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 808,IS 808,BIS searchKnowStandards,63,195
IS 9595:1996,Metal - Arc welding of carbon and carbon manganese steels - Recommendations (Fifth Revision),1996.0,Withdrawn,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 9595,IS 9595,BIS searchKnowStandards,70,34
IS 1538:1993,"Cast iron fittings for pressure pipes for water, gas and sewage - Specification (Third Revision)",1993.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 1538,IS 1538,BIS searchKnowStandards,70,29
IS 3975:1999,"Low carbon galvanized steel wires, formed wires and tapes for armouring of cables - Specification (Third Revision)",1999.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3975,IS 3975,BIS searchKnowStandards,70,27
IS 209:2024,Refined Zinc - Specification (Fifth Revision),2024.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 209,IS 209,BIS searchKnowStandards,70,32
IS 13095:2020,Butterfly Valves for General Purposes ( First Revision )  ,2020.0,Superseded,UNKNOWN,UNKNOWN,MED — Mechanical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 13095,IS 13095,BIS searchKnowStandards,68,298
IS 8828:1996,Electrical Accessories - Circuit Breakers for Over Current Protection for Household and Similar Installations,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 8828,IS 8828,BIS searchKnowStandards,65,241
IS 3427:1997,A.C. Metal Enclosed Switchgear and Controlgear for Rated Voltages Above 1 kV and Up to and Including 52 kV,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 3427,IS 3427,BIS searchKnowStandards,65,242
IS 617:2024,Aluminium and Aluminium Alloys Ingots for Remelting and Castings for General Engineering Purposes â€” Specification  (Fourth Revision),2024.0,Current,UNKNOWN,UNKNOWN,MTD — Metallurgical Engineering Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 617,IS 617,BIS searchKnowStandards,70,30
IS 6875 (Part 1):1973,Control switches (switching devices for control and auxiliary circuits including contactor relays) for voltages up to and including 1000 V ac & 1200 V dc: Part 1 General requirements,,Withdrawn,UNKNOWN,UNKNOWN,ETD — Electrotechnical Department,Collected,https://standards.bis.gov.in/website/know-your-standards,IS 6875,IS 6875,BIS searchKnowStandards,65,241
